CODIGO_MODULAR;NOMBRE_INSTITUCION;NUMERO_FYA;LATITUD;LONGITUD;ALTITUD_MSNM;Y1_ILA;Y2_TD;Y3_PR;X1_NVC;X2_TR;X4_IDD;X5_ED;X6_CDD;X10_IE;X11_RED;X12_TOE;X15_MEIB;X13_TMATRC;X14_NIVEL_EDUCATIVO;X16_MODALIDAD;X17_GESTION;X18_TURNO;X19_ORGANIZACION_PEDAGOGICA;X20_DIRECTIVOS_TOTAL;X21_MULTIPLICIDAD1;X22_MULTIPLICIDAD2;X24_GPMD;X25_POBLACION_DISTRITO
1315084;86548 JOSE MARIA VELAZ;54;-9.2117;-77.9645;2956;1.185635669;2;2;4;2;3.330695688;0.533333333;2.157894737;0.8;11.15384615;4;1;1;5;2;1;1;0;1;1;1;8;8577
414987;86548 JOSE MARIA VELAZ;54;-9.2117;-77.9645;2956;1.3411;2;2;4;2;3.330695688;0.8;2.157894737;0.3;12.2;3;1;-5.5;4;2;1;1;2;0;2;2;8;8577
1376268;86548 JOSE MARIA VELAZ;54;-9.2117;-77.9645;2956;1.3411;2;2;4;2;2.25;0.5;2.157894737;0.3;21.5;3;1;0;2;2;1;1;0;0;3;3;8;8577
415059;86731;54;-9.190619;-77.99803;2900;1.3411;2;2;4;2;3.327471966;1;2.157894737;0.3;7;1;1;0.333333333;4;2;1;1;1;1;1;1;8;8577
1633189;86769 ABRAHAM VALDELOMAR;54;-9.191896;-77.98308;3443;1.133333333;2;2;4;2;3.327381069;0.5;2.157894737;0.8;5.125;4;1;-2.8;5;2;1;1;0;1;1;1;8;8577
415117;86769 ABRAHAM VALDELOMAR;54;-9.191896;-77.98308;3443;1.3411;2;2;4;2;3.327381069;0.333333333;2.157894737;0.3;12;3;1;-2.333333333;4;2;1;1;2;0;2;2;8;8577
1608132;86769 ABRAHAM VALDELOMAR;54;-9.191896;-77.98308;3443;1.3411;2;2;4;2;3.327381069;0;2.157894737;0.3;7.5;3;1;0.333333333;2;2;1;1;0;0;3;3;8;8577
415141;86783;54;-9.191011;-78.0417;1597;1.3411;2;2;4;2;3.328513092;0;2.157894737;0.3;15.25;3;1;-2;4;2;1;1;2;0;1;1;8;8577
1376300;86783;54;-9.191011;-78.0417;1597;1.3411;2;2;4;2;3.328513092;0.6;2.157894737;0.3;11.55555556;4;1;6.6;5;2;1;1;0;1;2;2;8;8577
520221;86809;54;-9.23742;-77.9687;3625;1.417291354;0;2;4;2;3.335628045;1;2.157894737;0.3;8;3;1;-2;4;2;1;1;2;1;1;1;8;8577
